t,lead_I
1406.13,-120817.99999999999
1408.1,-120796.85
1410.1,-120777.15
1412.1,-120765.55000000002
1414.1,-120759.00000000001
1416.1,-120749.15
1418.1,-120732.15
1420.1,-120711.0
1422.1,-120690.40000000001
1424.1,-120671.25
1426.1,-120651.54999999999
1428.1,-120631.2
1430.1,-120612.55
1432.1,-120596.40000000001
1434.1,-120583.35
1436.1,-120575.09999999999
1438.1,-120568.55000000002
1440.1,-120556.45000000001
1442.1,-120540.90000000001
1444.1,-120533.30000000002
1446.1,-120536.20000000001
1448.1,-120539.6
1450.1,-120537.25
1452.1,-120532.2
1454.1,-120528.45
1456.1,-120528.05
1458.1,-120530.50000000001
1460.1,-120529.45000000001
1462.1,-120522.20000000001
1464.1,-120520.45000000001
1466.1,-120533.7
1468.1,-120549.2
1470.1,-120550.15000000001
1472.1,-120543.15000000002
1474.1,-120544.45000000003
1476.1,-120552.85000000002
1478.1,-120557.30000000002
1480.1,-120556.40000000001
1482.08,-120554.45000000001
1484.05,-120554.24999999999
1486.03,-120560.90000000001
1488.0,-120575.95000000001
1490.0,-120589.25
1492.0,-120592.95000000001
1494.0,-120596.40000000001
1496.0,-120612.40000000001
1498.0,-120638.4
1500.0,-120662.75
1502.0,-120679.3
1504.0,-120690.45
1506.0,-120705.05
1508.0,-120731.70000000003
1510.0,-120765.80000000002
1512.0,-120791.59999999999
1514.0,-120805.74999999999
1516.0,-120824.64999999998
1518.0,-120859.74999999999
1520.0,-120899.84999999999
1522.0,-120928.45000000001
1524.0,-120944.70000000001
1526.0,-120959.35
1528.0,-120980.85
1530.0,-121009.95000000001
1532.0,-121039.85
1534.0,-121061.50000000001
1536.0,-121075.35
1538.0,-121092.35000000002
1540.0,-121117.50000000003
1542.0,-121140.75000000001
1544.0,-121151.7
1546.0,-121153.90000000001
1548.0,-121158.05000000002
1550.0,-121169.00000000001
1552.0,-121184.25
1554.0,-121198.15
1556.0,-121206.3
1558.0,-121210.75000000001
1560.0,-121219.15000000001
1561.98,-121233.7
1563.95,-121247.75
1565.93,-121256.35
1567.9,-121262.65000000001
1569.9,-121270.70000000001
1571.9,-121279.45000000001
1573.9,-121285.20000000001
1575.9,-121285.55
1577.9,-121282.85
1579.9,-121284.8
1581.9,-121295.65000000001
1583.9,-121307.85
1585.9,-121310.55000000002
1587.9,-121304.60000000002
1589.9,-121301.55000000002
1591.9,-121307.50000000003
1593.9,-121314.75000000003
1595.9,-121312.50000000003
1597.9,-121301.30000000003
1599.9,-121291.95000000003
1601.9,-121291.20000000003
1603.9,-121293.40000000001
1605.9,-121288.75
1607.9,-121276.00000000001
1609.9,-121264.45000000001
1611.9,-121262.70000000001
1613.9,-121267.8
1615.9,-121269.24999999999
1617.9,-121263.54999999999
